id,name,datim_code,district_id
40,CLINIQUE QUEEN LATIFA,uEtaQLqhTQf,110
41,CENTRE MEDICAL LE BELIER,xh1acnq6DKo,110
42,CLINIQUE MEDICALE LE BANCO,oWc5ucoRUx6,110
43,CLINIQUE MEDICALE GRANDE ETOILE,DcajrN6YDjz,110
44,CLINIQUE MEDICO-CHIRURGIVALE SAINT RAPHAEL,Q7RzM9oQ6Wb,110
45,CENTRE SAINT MICHEL ARCHANGE,kjrWzpEDCCC,110
46,CLINIQUE MAMIE ADJOUA,tGOFnl3DHQJ,110
47,CLINIQUE MEDICALE VIE,Fkj7LgP5iI7,110
48,CLINIQUE MEDICALE LA NOUVELLE ALLIANCE,EGmHQYTG5QX,110
49,CLINIQUE MEDICALE HOUPHOUET,N8MAUq86BvZ,110
50,CLINIQUE MEDICALE MONT CARMEL,RvoR10Nvfvy,110
51,CENTRE MEDICO-CHIRURGICAL,QQK3Bv6KkVX,2
52,CENTRE MEDICAL SOGEFIHA,dM7RIVLrF3c,2
53,CENTRE MEDICAL SAINT PAUL,mBmgp0PNHAo,2
54,CLINIQUE ROSERAIE,rQshffjtNNN,2
55,CLINIQUE LES GRACES,MnzhADzKzbk,2
56,ESPACE MEDICAL LE SPHINX,ZO7BEDbKlMW,3
57,CLINIQUE DE L'ETOILE,ehUEn7DMxdI,3
58,CENTRE MEDICAL NAFA,UKtDkuO6nPU,3
59,CLINIQUE MEDICALE DON ORIONE,CmzQY5o9CW1,12
60,CENTRE MEDICAL EMMANUEL,AhViDo46cDX,86
61,CENTRE MEDICAL BEGNANKO,ywdaCFPlb0R,86
62,ESPACE MEDICAL PASTEUR,Pn0h1NfliK3,86
63,CLINIQUE LA CITADELLE,XXEd7rmy7bk,6
64,CLINIQUE HOPE ROAD,iDEQs5XquwF,6
65,CLINIQUE AZIZ,TE8sqyykYwQ,6
66,CLINIQUE ELEIS,f75Fe1IAIXX,6
67,CENTRE MEDICAL DIYA,CJWHVjY90RF,6
68,CABINET PARA MEDICAL RASSUL,IoApoyfYFoh,6
69,CENTRE MEDICO SOCIAL EL KABOD,aEXriApUBOB,18
70,CLINIQUE RAHINATH,Ig7fwUdiyZg,18
71,MATERNITE BEON BETHEL,tjukBjExWRY,18
72,CENTRE MEDICO SOCIAL SAINT ETIENNE,TojiBPZtgzg,18
73,CLINIQUE MEDICALE IRYS,wqqsdBHTaL4,18
74,CLINIQUE MEDICALE SAINTE FAMILLE,Q1TZUHROXs3,18
75,CLINIQUE MEDICALE SAINTE KARINE,PMoCIYsgY1z,18
76,CLINIQUE SAINTE GWLADYS,mcmizTYhnht,18
77,CENTRE MEDICAL LA PAIX,oslymYUiW9Y,18
78,CENTRE DELPIERO,Tqb7YAB5Xfo,18
79,CENTRE MEDICAL BLATA,K0zFBn68KlE,82
80,CLINIQUE MEDICALE SAINTE MARIE DE PORT-BOUET,Nxu6MVMzXkm,82
81,CLINIQUE LE BONHEUR,wXmCwdapz6W,18
82,CENTRE MEDICAL CRI DU COEUR,TF1zR6pdIbE,82
83,CENTRE MEDICAL MUNICIPAL KOUMASSI,yiyFp1AAyXJ,63
84,CLINIQUE ARCADE,ORa0JD05JgG,105
85,CLINIQUE MIRIADE,tnIt3kvchT6,105
86,CLINIQUE NANCY,wsj7o0nqZvJ,105
87,CENTRE MEDICO CHIRURGICALE DE TREICHVILLE,SKZ7qlVYP3F,105
88,CENTRE SAINT SAUVEUR,tBZ0m6TSp4J,105
89,CLINIQUE LA MASCOTTE,Sx4UVrIs786,105
90,CENTRE MEDICAL AUTOROUTE ARRAS (CMAA),zz2HPd1Aw8U,105
91,CENTRE MEDICAL SMGL,Lmn1XEmUvsx,105
92,CENTRE MEDICAL AL-IMAM AL,TqysSYJbymj,105
93,CABINET MEDICAL SAINTE MARIE DES ANGES,tAMhbCGxGkl,105
94,CENTRE MEDICO CHIRURGICAL FRANCE IVOIRE,cV3Y9Cr1x3s,105
95,CENTRE MEDICAL OLIVIERS,PaIkffejAL8,105
96,CLINIQUE MEDICALE BARAKA,gsv9if1npmx,105
97,CENTRE MEDICO SOCIAL CHAPEDEC,I3gA8eSnfND,105
98,CLINIQUE SAINT MOISE,uaxT6DabK4o,30
99,ESPACE MEDICAL ATTOBAN,JA99nJlvNtr,30
100,CLINIQUE NOTRE DAME DE L'INCARNATION,TH5aw4f7mKi,30
101,CLINIQUE SAINT VIATEUR,ZSvmRLUWCb8,30
102,CENTRE MEDICAL INTERNATIONAL GOSPA,HShNouQNsm9,30
103,CENTRE MEDICAL LES BLEUETS,ag89QouKsXM,30
104,CLINIQUE MEDICALE BEATITUDES,tiAAm2dSH4L,30
105,CLINIQUE ESPERANCE,zJ9pm8FfCQY,30
106,CLINIQUE MEDICALE D'ANGRE,zCNTtT9NxqT,30
107,CLINIQUE DE COCODY,YMt4jNPzSs7,30
108,CENTRE MEDICO CHIRURGICAL STE TRINITE,z1b6VMX1BHj,92
109,CLINIQUE GNANTE-BIA,ODz4RsBihep,92
110,CLINIQUE DES OLIVIERS,dp1A6GtWk5g,92
111,CLINIQUE MEDICALE DIVINE GRACE,xB7DL9m7hy2,92
112,CENTRE CARLA,Mw1XRpKtknE,92
113,CLINIQUE MEDICO SOCIAL PRIVE LA GRACE DE SOUBRE,VW43156rnsq,92
114,BETHESDA SOUBRE,iPKfazAt8sb,92
115,CLINIQUE SAINTE YVETTE,fnMJWQkPLKQ,92
116,CLINIQUE PARA MEDICALE MERVEILLES,lnMKf8WmJ3G,92
117,CLINIQUE DU VERSEAU,zM886PlUXAY,45
118,CLINIQUE MEDICALE LE GHERY,bk0lGykAJDD,45
119,CLINIQUE MEDICALE GRACE DIVINE,TaNAMJxCr2d,33
120,CLINIQUE MEDICALE SOLIDARITE,v5x8ORE2l6g,33
121,CLINIQUE MEDICALE LES PERLES,s1AHGZcskDD,81
122,CENTRE ANTITUBERCULEUX DE ABENGOUROU,tk7pD4CuPOk,1
123,CENTRE DE SANTE BETHESDA DE ABENGOUROU,D1Effl3Zm2S,1
124,CENTRE DE SANTE MARIA GRAZIA BALBUZIA DE YAKASSE FEYASSE,wkarlcQhbXq,1
125,CENTRE MEDICAL PIM,id2m1J03elB,1
126,CENTRE HOSPITALIER REGIONAL DE ABENGOUROU,BxdZwaGvSJF,1
127,CENTRE DE SANTE RURAL DE ADOUKOFFIKRO,l7w8sW81NRR,1
128,CENTRE DE SANTE RURAL DE AMIANKOUASSIKRO,hZYVfSOrvK9,1
129,CENTRE DE SANTE RURAL DE DIAMARAKRO,bPNbnNu82AP,16
130,CENTRE DE SANTE RURAL DE DJANGOBO,TUPry8pL2dx,1
131,CENTRE DE SANTE RURAL DE SATIKRAN,LfLfsFxvR4i,1
132,CENTRE DE SANTE RURAL DE TAHAKRO,aMZQDTO3ym6,1
133,CENTRE DE SANTE URBAIN DE AFFALIKRO,z6iFW1i6g6a,1
134,CENTRE DE SANTE URBAIN DE AMELEKIA,bWDnh1Bn8Qv,1
135,CENTRE DE SANTE URBAIN DE ANIASSUE,b63PF3L4zPB,1
136,CENTRE DE SANTE URBAIN DE APPOISSO,WP9yJ0acglI,1
137,CENTRE DE SANTE URBAIN DE APPROMPRONOU,SKOr1Y78Yi1,1
138,CENTRE DE SANTE URBAIN DE DUFFREBO,qVSjmO7MbQC,9
139,CENTRE DE SANTE URBAIN DE EBILASSOKRO,CV4w0yRF9WT,1
140,CENTRE DE SANTE URBAIN DE EHUASSO,nm7qcqd0OH1,1
141,CENTRE DE SANTE URBAIN DE NIABLE,TCXBQVRuHLT,1
142,CENTRE DE SANTE URBAIN DE SANKADIOKRO,unXFWhYZFvB,1
143,CENTRE DE SANTE URBAIN DE YAKASSE FEYASSE,p15ZSrgrocd,1
144,CENTRE DE SANTE URBAIN DE ZARANOU,fAhq3N3zOLy,1
145,DISPENSAIRE DE DIOULAKRO,XAILqFntsHv,1
146,DISPENSAIRE RURAL DE ABRADINOU,GnfAXaaO3V3,16
147,DISPENSAIRE RURAL DE ABRONAMOUE,O0CR7wJ3eaS,1
148,DISPENSAIRE RURAL DE ATTIEKRO,F4eQVQowFHT,16
149,DISPENSAIRE RURAL DE BEBOU,sqAwZKqxkWG,1
150,DISPENSAIRE RURAL DE BLEKOUM,DnIKvCvhTAJ,1
151,DISPENSAIRE RURAL DE KODJINAN,kcLM1qDhZ1l,1
152,DISPENSAIRE RURAL DE KOUASSI BENIEKRO,HiDKkjanqlp,1
153,MATERNITE URBAINE DE CAFETOU,tgxOwP1kyY6,1
154,PROTECTION MATERNELLE INFANTILE DE ABENGOUROU,urKxcTDmQjM,1
155,SERVICE DE SANTE SCOLAIRE ET UNIVERSITAIRE DE ABENGOUROU,lx29RbaVFlX,1
156,CENTRE ANTITUBERCULEUX DE ABOBO,IRTm5gfJe4E,2
157,CENTRE D'EDUCATION SPECIALISE DE ABOBO CLOUETCHA,FIM99Prxctc,2
158,CENTRE D'EDUCATION SPECIALISE DE ABOBOTE,HK1ovM5k4VN,2
159,CENTRE DE SANTE ONG ACID,Qwaz76PofWX,2
160,CENTRE DE SANTE URBAIN COMMUNAUTAIRE DE ABOBOTE,aqAB0WnEZj9,2
161,CENTRE DE SANTE URBAIN COMMUNAUTAIRE DE BANCO SUD,VsZP4SBuRi3,2
162,CENTRE DE SANTE URBAIN COMMUNAUTAIRE DE KENNEDY CLOUETCHA,tW00fgEB7b5,2
163,FORMATION SANITAIRE URBAINE COMMUNAUTAIRE DE ABOBO-AVOCATIER,mT69EA1uMAr,2
164,FORMATION SANITAIRE URBAINE COMMUNAUTAIRE DE AKEIKOI,amgQLRDRwvz,2
165,HOPITAL GENERAL DE ABOBO-NORD,Wgy2NR0NVcr,2
166,POLYCLINIQUES LES ETOILES,S7OzRGDbeCl,2
167,CENTRE MEDICAL ONG MIBEF,Jo9mDxQE7y3,2
168,CENTRE MEDICAL SOS VILLAGE ABOBO,dRlibIdGGq2,2
169,CENTRE MEDICO-SOCIAL ANGE GARDIEN ABOBO,DEZkvNoI3Ah,2
170,CENTRE DE SANTE URBAIN COMMUNAUTAIRE DE ABOBO-BC,hJZtihgP3A0,2
171,CENTRE DE SANTE URBAIN ONG LUMIERE ACTION,pvwUOuevEGQ,2
172,FORMATION SANITAIRE URBAINE COMMUNAUTAIRE DE ABOBO-BAOULE,TdvQM92hn4h,2
173,MATERNITE POUR TOUS ABOBO,mAJsHYo2jAS,2
174,SERVICE DE SANTE SCOLAIRE ET UNIVERSITAIRE DE ABOBO CENTRE,QAE8yHX06R2,2
175,SERVICE DE SANTE SCOLAIRE ET UNIVERSITAIRE DE ABOBO SOGEPHIA,MGp9Y03bmiW,2
176,CENTRE DE SANTE EL RAPHA,ZZsJ3RUlzDr,3
177,CENTRE DE SANTE URBAIN COMMUNAUTAIRE DE AGOUETO,h9Mr1L2JOQL,3
178,CENTRE DE SANTE URBAIN COMMUNAUTAIRE DE ANONKOUA 3,dEfqGYQcjdc,3
179,CENTRE DE SANTE URBAIN COMMUNAUTAIRE DE ASSOUMIN,Iu4JCVJtlS7,3
180,CENTRE DE SANTE URBAIN COMMUNAUTAIRE DE BOCABO,pbDCLbt0Hz5,3
181,FORMATION SANITAIRE URBAINE COMMUNAUTAIRE DE ABOBO-SAGBE,djQANdyO13a,3
182,FORMATION SANITAIRE URBAINE COMMUNAUTAIRE DE ANONKOUA-KOUTE,LMJx3FL090I,3
183,HOPITAL GENERAL DE ABOBO-SUD,VCZ9CwvqQ6B,3
184,CENTRE ANTITUBERCULEUX DE ADJAME,dtZsyTIdd0T,6
185,CMM-GSP INDENIE,iQDIOUWVaKM,6
186,CITE DE L'ENFANCE DE ADJAME,CIUKzI3cvZn,6
187,CENTRE DE SANTE URBAIN COMMUNAUTAIRE DE AGBAN,bS8vVVXI9VT,6
188,CENTRE DE SANTE URBAIN COMMUNAUTAIRE DE WILLIAMSVILLE,BNvKQ0YeNF7,6
189,FORMATION SANITAIRE URBAINE DE ATTECOUBE,xXEN08HqJ2P,6
190,FORMATION SANITAIRE URBAINE COMMUNAUTAIRE DE ABOBO-DOUME,keJEcHfb4tQ,6
191,FORMATION SANITAIRE URBAINE DE LOCODJRO,U8jA8Yquh8J,6
192,FORMATION SANITAIRE URBAINE DE PLATEAU,MAaUhJkcMXd,6
193,HMA,NpTdese7pSw,6
194,MATERNITE DE 220 LOGEMENTS,N7g5YCRC15L,6
195,MATERNITE DE ATTECOUBE,zAhrhdFE2yw,6
196,MATERNITE DE WILLIAMSVILLE,aXbIo8ajtYZ,6
197,CENTRE MEDICO-SOCIAL DE ADZOPE,wCGDTjDn43x,7
198,CENTRE DE SANTE RURAL DE ABIE,EPlp8LudqB1,7
199,CENTRE DE SANTE RURAL DE ANANGUIE (ADZOPE),MjxgtFVIeKl,7
200,CENTRE DE SANTE RURAL DE ANDE,d6nHPKlOHno,7
201,CENTRE DE SANTE RURAL DE BIASSO,qUGZDAkGtRU,7
202,CENTRE DE SANTE RURAL DE BOUDEPE,GJoDKwgl5pQ,7
203,CENTRE DE SANTE RURAL DE DIAPE,M28gV33RrV8,7
204,CENTRE DE SANTE RURAL DE DIASSON,RpikwQkr39M,7
205,CENTRE DE SANTE RURAL DE GRAND AKOUZIN,tFEbbvZzSbO,7
206,CENTRE DE SANTE RURAL DE MOAPE,LeAlNzY8LXI,7
207,CENTRE DE SANTE URBAIN DE YAKASSE ME,uUmzPF8WCKv,7
208,CENTRE DE SANTE URBAIN DE AGOU,MeFIywgXYhm,7
209,CENTRE DE SANTE URBAIN DE ANNEPE,RAcX5HNzkRK,7
210,CENTRE DE SANTE URBAIN DE ASSIKOI,RWhEmGk9ejP,7
211,CENTRE DE SANTE URBAIN DE BECEDI-BRIGNAN,OK4mBYE8bUb,7
212,DISPENSAIRE RURAL DE AHOKOI,fUeZ1PdL2Au,7
213,DISPENSAIRE RURAL DE BASSADZIN,d4PVqHj2g71,7
214,DISPENSAIRE RURAL DE BECEDI-ANON,hBFyDV1cbGq,7
215,DISPENSAIRE RURAL DE DUQUESNE CREMONE,a4DA0HjGrz9,7
216,DISPENSAIRE RURAL DE LOBO AKOUDZIN,rsmcGGzNxyc,7
217,HOPITAL GENERAL DE ADZOPE,mkK1CS6h7Wo,7
218,INSTITUT RAOUL FOLLERAU,XaoZHupcqPH,7
219,PROTECTION MATERNELLE INFANTILE DE ADZOPE,GkL0TpdzsNb,7
220,SERVICE DE SANTE SCOLAIRE ET UNIVERSITAIRE DE ADZOPE,Ls07Zbwuuey,7
221,CENTRE HOSPITALIER REGIONAL DE AGBOVILLE,xBgp7PTwfDO,8
222,CENTRE DE SANTE RURAL DE ANANGUIE (AGBOVILLE),vcVpc7q6Yvp,8
223,CENTRE DE SANTE RURAL DE ANNO,qvfBrZLX32d,8
224,CENTRE DE SANTE RURAL DE ATTOBROU,mfL1JmDQsmC,8
225,CENTRE DE SANTE RURAL DE GRAND MOUTCHO,FDVa6td4CII,8
226,CENTRE DE SANTE RURAL DE GRAND YAPO,SGWgwRXN4CE,8
227,CENTRE DE SANTE URBAIN DE GUESSIGUIE,ntwLQpVAeMk,8
228,CENTRE DE SANTE RURAL DE OFFOUM PO,smEXHpCbNcU,8
229,CENTRE DE SANTE URBAIN DE ORESS KROBOU,ynlHpjV1jHB,8
230,CENTRE DE SANTE URBAIN DE ABOUDE,qYTmIU5BvV4,8
231,CENTRE DE SANTE URBAIN DE AZAGUIE,ZMCbeouQOI0,8
232,CENTRE DE SANTE URBAIN DE CECHI,JqSCPQt3df7,8
233,CENTRE DE SANTE URBAIN DE GRAND MORIE,PH3rrtN4bMj,8
234,CENTRE DE SANTE URBAIN DE RUBINO,TEoBfC46p7L,8
235,DISPENSAIRE RURAL DE COPA,RMOTBNq3sHo,8
236,DISPENSAIRE RURAL DE LOVIGUIE,VCDBslMhrQ8,8
237,DISPENSAIRE RURAL DE MBROME,P1ItS8P5CIH,8
238,DISPENSAIRE RURAL DE OFFA,UBam6iRHkjK,8
239,DISPENSAIRE RURAL DE SEGUIE-BOGUIE,ILUs2F3FPuh,8
240,PROTECTION MATERNELLE INFANTILE DE AGBOVILLE,ZzufJAfKAko,8
241,CENTRE DE SANTE URBAIN DE AKOBOISSUE,dqqwss42fAV,9
242,CENTRE DE SANTE URBAIN DE DAME,E8szjZ0VYIP,9
243,CENTRE DE SANTE URBAIN DE TANGUELAN,nf3eJyuFIg4,9
244,HOPITAL GENERAL DE AGNIBILEKROU,U6WEm73OGC6,9
245,PROTECTION MATERNELLE INFANTILE DE AGNIBILEKROU,MdFJoKGKYXt,9
246,CENTRE DE SANTE RURAL DE AGNANFOUTOU,JQCruhHGPRP,9
247,CENTRE DE SANTE RURAL DE AMORIAKRO,mBXrG0aQt7o,9
248,CENTRE DE SANTE RURAL DE ASSUAME,eTQSCWMkKtj,9
249,CENTRE DE SANTE RURAL DE BANGOUA,X3A8ushbTUp,9
250,CENTRE DE SANTE RURAL DE COMOE NDANOU,W1MQSgfIdk1,9
251,CENTRE DE SANTE RURAL DE KOGODJAN,oV3I5wB7UkE,9
252,CENTRE DE SANTE RURAL DE MANZANOUAN,tS9UeStrdCL,9
253,CENTRE DE SANTE RURAL DE N'GUESSANKRO AGNIBILEKROU,lC5fuhXtEfy,9
254,CENTRE DE SANTE RURAL DE NIANDA,UvpKEDPKp5Y,9
255,DISPENSAIRE RURAL DE KOKONOU,mjJENfmrsEr,9
256,DISPENSAIRE RURAL DE SIAKAKRO,XUMNTMd2vrI,9
257,DISPENSAIRE RURAL DE YOBOUAKRO,ymQFbWBd7Nh,9
258,CENTRE MEDICO-SOCIAL DE BANACOMOE,GzN420SOEHH,10
259,CENTRE DE SANTE RURAL DE BACON,UVUD8VEDFvv,10
260,CENTRE DE SANTE RURAL DE DIANGOBO-FIASSE,iqz79ErPlo3,10
261,CENTRE DE SANTE URBAIN DE ABONGOUA,srQTbHgbwND,10
262,CENTRE DE SANTE URBAIN DE AFFERY,mUuNyMtXJ63,10
263,CENTRE DE SANTE URBAIN DE BECOUEFIN,ehb3VEBN68O,10
264,CENTRE DE SANTE URBAIN DE BIEBY,j7JgxrThNrL,10
265,DISPENSAIRE RURAL DE AGBAOU,Ehatd1StLcb,10
266,DISPENSAIRE RURAL DE ASSEUDJI,XTKLNsKselz,10
267,DISPENSAIRE RURAL DE ASSIKOUN,pGGx9SfPN2b,10
268,DISPENSAIRE RURAL DE BONAHOUIN,sZvNWI2FBMd,10
269,DISPENSAIRE RURAL DE YADIO,T2Bj5by8pJG,10
270,HOPITAL GENERAL DE AKOUPE,dEFYMRxce1Q,10
271,HOPITAL GENERAL DE YAKASSE-ATTOBROU,beBjL4fWC5C,10
272,CENTRE DE SANTE RURAL DE ASSANGBADJI,H1kfIZCz77k,10
273,CENTRE DE SANTE RURAL DE MONTEZO,FyRHIrb2Fnv,11
274,CENTRE DE SANTE URBAIN DE ABOISSO COMOE,Fw1kRxsUFLM,11
275,CSR MÉNÉ CENTRE,Dq762s8srXI,11
276,CENTRE DE SANTE URBAIN DE MEMNI,QrwDqlgJGY5,11
277,CENTRE DE SANTE URBAIN DE OGLWAPO,EOXbdkTmS8h,11
278,HOPITAL GENERAL DE ALEPE,P9sqfSn8AMJ,11
279,HOPITAL GENERAL DE ANYAMA,ashWsAKPwIp,12
280,CENTRE DE SANTE URBAIN DE DIEOUZON,tZd41r5uM5g,14
281,CENTRE DE SANTE URBAIN DE ZEO,vddPg6aGBG6,14
282,CENTRE DE SANTE URBAIN DE ZOU,o4sMegi1PNi,14
283,HOPITAL GENERAL DE BANGOLO,xpIQ2EQ2XlG,14
284,CENTRE DE SANTE RURAL DE AFOTOBO,lXz8RKh06Kq,15
285,CENTRE DE SANTE RURAL DE DIEVIESSOU,Ht4S1CaYBmI,15
286,CENTRE DE SANTE RURAL DE FARI M'BABO,rgw4haQYa2V,15
287,CENTRE DE SANTE RURAL DE GOLI KPANGBASSOU,Y5bm4hE2PZX,15
288,CENTRE DE SANTE RURAL DE LOLOBO BEOUMI,APrnC6rD6X2,15
289,CENTRE DE SANTE RURAL DE MARABADIASSA,tG4zYHoEi1l,15
290,CENTRE DE SANTE RURAL DE N'GUESSANKRO BEOUMI,SaMzlnDOjGL,15
291,CENTRE DE SANTE URBAIN DE ANDOKEKRENOU,xNosVr7WDf1,15
292,CENTRE DE SANTE URBAIN DE BODOKRO,BVSnUPLrlUF,15
293,CENTRE DE SANTE URBAIN DE KONDROBO,c4Aou8GFtYO,15
294,HOPITAL GENERAL DE BEOUMI,D9saVJSg3Wc,15
295,PROTECTION MATERNELLE INFANTILE DE BEOUMI,KMYfp5ocHRv,15
296,SERVICE DE SANTE SCOLAIRE ET UNIVERSITAIRE DE BEOUMI,Pp5y12G3eJX,15
297,CENTRE DE SANTE URBAIN DE BETTIE/ HOPITAL GENERAL DE BETTIE,AbJ3hVopWXH,16
298,CENTRE DE SANTE RURAL DE MANGOUIN-YRONGOUIN,rUmcPVNCeRN,17
299,CENTRE DE SANTE RURAL DE SANTA,NDMXpDxnFsS,17
300,CENTRE DE SANTE URBAIN DE GBONNE,hBrcK6SOQec,17
301,CENTRE DE SANTE URBAIN DE SIPILOU,zBoo2JYMPgh,17
302,DISPENSAIRE RURAL DE YORODOUGOU,juhJDwPi6GH,17
303,HOPITAL GENERAL DE BIANKOUMA,gSPwWH7yYEa,17
304,HOPITAL GENERAL DE BLOLEQUIN,XnUSoYDe03p,18
305,CENTRE DE SANTE RURAL DE ABEANOU,UbpOdNAxroe,19
306,CENTRE DE SANTE RURAL DE DIDA KAYABO,vgCFB0a3e1q,19
307,CENTRE DE SANTE URBAIN DE BENGASSOU,zingkfJ1SLh,19
308,CENTRE DE SANTE URBAIN DE KOUASSI-KOUASSIKRO,Dgac0lmyzmP,19
309,CENTRE DE SANTE URBAIN DE N'ZECREZESSOU,XdFSaLFfrTV,19
310,DISPENSAIRE SAINTE ANNE DE BOCANDA,HUxJX9xiHNe,19
311,HOPITAL GENERAL DE BOCANDA,qasHO0jMG7i,19
312,CENTRE ANTITUBERCULEUX DE BONDOUKOU,VDVIN7hkOky,20
313,CENTRE HOSPITALIER REGIONAL DE BONDOUKOU,UQxy6QqstTk,20
314,CENTRE DE SANTE RURAL DE APPIMANDOUM,EUotohdwZJG,20
315,CENTRE DE SANTE RURAL DE BANDOLE,yckOMCHyLrD,20
316,CENTRE DE SANTE RURAL DE BONDODIOULA,tzBDg8xxV9n,20
317,CENTRE DE SANTE RURAL DE GBANHUI,EJrH7KyFR1V,20
318,CENTRE DE SANTE RURAL DE HEREBO,k6S9Gve7FmD,20
319,CENTRE DE SANTE RURAL DE KARAKO,j9XcN0DescI,20
320,CENTRE DE SANTE RURAL DE KOUASSI N'DAWA,G9q5Y2UZzIt,20
321,CENTRE DE SANTE RURAL DE NAMASSI,jZ5FXKOa2la,20
322,CENTRE DE SANTE RURAL DE SAPIA,ATxK5NsEH7w,20
323,CENTRE DE SANTE RURAL DE SOKO,SB0hpsjKT0U,20
324,CENTRE DE SANTE RURAL DE TOROSANGUEHI,lE2AVQu605R,20
325,CENTRE DE SANTE RURAL DE YEZIMALA,JyupgNOUehN,20
326,CENTRE DE SANTE URBAIN DE DIMANDOUGOU,ZR0zkWqxYWb,20
327,CENTRE DE SANTE URBAIN DE GOUMERE,i7E45Po36N9,20
328,CENTRE DE SANTE URBAIN DE LAOUDIBA,KxgoyVSNlYL,20
329,CENTRE DE SANTE URBAIN DE SAPLI,Ny3rn8vpBkC,20
330,CENTRE DE SANTE URBAIN DE SOROBANGO,UhnldktRIVR,20
331,CENTRE DE SANTE URBAIN DE TABAGNE,sWFhqs9fEBo,20
332,CENTRE DE SANTE URBAIN DE TAOUDI,MME6AD1ORyv,20
333,CENTRE DE SANTE URBAIN DE YOROBODI,r1e6Z1H3VjK,20
334,DISPENSAIRE SAINTE MARIE,bzKxV2SWEyK,20
335,CENTRE DE SANTE URBAIN DE BONDOUKOU,eGE7dTCofyl,20
336,DISPENSAIRE RURAL DE FLAKIEDOUGOU,NeEtZOfAIlC,20
337,DISPENSAIRE RURAL DE KAMALA,bzZHLiklhG7,20
338,HOPITAL GENERAL DE SANDEGUE,Sx5vMmerNjw,20
339,PROTECTION MATERNELLE INFANTILE DE BONDOUKOU,uzWfBe8L6tn,20
340,SERVICE DE SANTE SCOLAIRE ET UNIVERSITAIRE DE BONDOUKOU,BUVc3QiQYWK,20
341,CENTRE DE SANTE NAZARETH DE M'BATTO,VpUq1YmfTV8,21
342,CENTRE DE SANTE RURAL DE ABONGOUA DE BONGOUANOU,te3dPtI1lys,21
343,CENTRE DE SANTE RURAL DE AGBOSSOU,hemAzkZyKwP,21
344,CENTRE DE SANTE RURAL DE ASSAHARA,EEpH6D7jgDw,21
345,CENTRE DE SANTE RURAL DE ASSALEKOUASSIKRO,OVWtfIXINcK,21
346,CENTRE DE SANTE RURAL DE ASSIEKOUMASSI,GdiAv8J36DZ,21
347,CENTRE DE SANTE RURAL DE EROBO,kXfrlFxESKI,21
348,CENTRE DE SANTE RURAL DE SEREBISSOU,t9gMuYD0OYX,21
